Group	Guild	Abbreviation	BroadCategory	MetabolicType	P	A	L	W	S	B	F	Invt	PPMR	PPMRopt	PPMRwidth	Predatory	Agility	Physical.protection	Metabolites	Proportion.C	Proportion.N	above	epi	hemi	eu
Resource	Resources: Living plant material	P	Resource	Resource	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.455	0.0168	1	1	1	1
Resource	Resources: Algae	A	Resource	Resource	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.5	0.043	1	1	1	NA
Resource	Resources: Leaf and root litter	L	Resource	Resource	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.447	0.0125	NA	1	1	1
Resource	Resources: Wood litter	W	Resource	Resource	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.5	0.02	NA	1	1	1
Resource	Resources: Soil organic matter	S	Resource	Resource	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.047	0.004	NA	NA	1	1
Resource	Resources: Bacteria	B	Resource	Resource	1	NA	1	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.46	0.11	NA	1	1	1
Resource	Resources: Fungi	F	Resource	Resource	1	NA	1	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	0.41	0.032	NA	1	1	1
Nematoda: Plant feeders	Nematoda: Plant feeders	Ne-H	Microfauna	Nematoda	1	0.5	NA	NA	NA	NA	0.5	NA		NA	NA	NA	NA	NA	NA	0.34	0.053	NA	NA	1	1
Nematoda: Bacterivores	Nematoda: Bacterivores	Ne-B	Microfauna	Nematoda	NA	0.5	NA	NA	NA	1	NA	NA		NA	NA	NA	NA	NA	NA	0.34	0.053	NA	NA	1	1
Nematoda: Fungivores	Nematoda: Fungivores	Ne-F	Microfauna	Nematoda	NA	NA	NA	NA	NA	NA	1	NA		NA	NA	NA	NA	NA	NA	0.34	0.053	NA	NA	1	1
Nematoda: Omnivores	Nematoda: Omnivores	Ne-O	Microfauna	Nematoda	NA	0.5	NA	NA	NA	1	NA	1		NA	NA	NA	NA	NA	NA	0.34	0.053	NA	NA	1	1
Nematoda: Predators	Nematoda: Predators	Ne-P	Microfauna	Nematoda	NA	NA	NA	NA	NA	0.5	NA	1		NA	NA	0.7	NA	NA	NA	0.34	0.053	NA	NA	1	1
Nematoda: Animal parasites	Nematoda: Animal parasites	Ne-AP	Microfauna	Nematoda	NA	NA	NA	NA	NA	NA	NA	1	parasitic	-2	2	NA	NA	0.2	NA	0.34	0.053	NA	1	1	1
Nematoda	Nematoda	Ne	Microfauna	Nematoda	1	0.5	NA	NA	NA	1	1	1		NA	NA	NA	NA	NA	NA	0.34	0.053	NA	NA	1	1
Oribatida	Oribatida	Ori	Microarthropods	Oribatida	NA	0.5	1	NA	NA	0.5	1	0.5		NA	NA	NA	NA	0.4	0.7	0.389	0.089	NA	NA	1	0.5
Mesostigmata	Mesostigmata	Me	Microarthropods	Mesostigmata	NA	NA	NA	NA	NA	NA	0.5	1		NA	NA	0.7	NA	0.7	NA	0.413	0.105	NA	NA	1	0.5
Prostigmata	Prostigmata	Prost	Microarthropods	Prostigmata	0.5	0.5	NA	NA	NA	0.5	1	1		NA	NA	0.7	NA	0.7	NA	0.471	0.095	NA	0.5	1	0.5
Schizomida	Schizomida	Schi	Microarthropods	Arachnida	NA	NA	NA	NA	NA	NA	NA	1		NA	NA	0.7	NA	NA	NA	0.402	0.095	NA	0.5	1	0.5
Pseudoscorpiones	Pseudoscorpiones	Pssc	Microarthropods	Arachnida	NA	NA	NA	NA	NA	NA	NA	1		NA	NA	0.7	NA	NA	NA	0.402	0.095	NA	0.5	1	0.5
Symphyla	Symphyla	Sym	Microarthropods	Progoneata	1	0.5	0.5	NA	NA	NA	1	0.5		NA	NA	NA	NA	NA	0.4	0.331	0.081	NA	NA	1	1
Pauropoda	Pauropoda	Pau	Microarthropods	Progoneata	0.5	NA	1	NA	0.5	0.5	1	NA		NA	NA	NA	NA	NA	NA	0.331	0.081	NA	NA	1	1
Diplura: Detritivores	Diplura: Detritivores	Dplu-D	Microarthropods	Invertebrates	0.5	NA	1	NA	NA	0.5	1	0.5		NA	NA	NA	NA	NA	NA	0.468	0.108	NA	NA	1	1
Diplura: Predators	Diplura: Predators	Dplu-C	Microarthropods	Invertebrates	0.5	NA	0.5	NA	NA	NA	0.5	1		NA	NA	0.7	NA	NA	NA	0.468	0.108	NA	NA	1	1
Protura	Protura	Protu	Microarthropods	Invertebrates	NA	NA	NA	NA	NA	NA	1	NA		NA	NA	NA	NA	NA	NA	0.451	0.109	NA	NA	1	1
Collembola	Collembola	Cla	Microarthropods	Insecta	0.5	0.5	1	NA	NA	0.5	1	0.5		NA	NA	NA	0.7	NA	NA	0.451	0.109	NA	1	1	1
araneae	Araneae	Ar	Insects, arachnids	Arachnida	NA	NA	NA	NA	NA	NA	NA	1	venom and web	0.64	1.44	0.7	NA	0.7	NA	0.488	0.111	0.5	1	0.5	NA
Opiliones	Opiliones	Opi	Insects, arachnids	Arachnida	0.5	NA	NA	NA	NA	NA	NA	1		NA	NA	0.7	NA	NA	NA	0.465	0.12	0.5	1	NA	NA
